Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2025-12-11,USD,0,10000,0,0
2025-12-11,USD,10000,,3.390,-0.5
2025-12-11,AED,0,35000,0,0
2025-12-11,AED,35000,,2.837,-0.75
2025-12-11,AUD,0,15000,0,0
2025-12-11,AUD,15000,150000,3.350,-0.5
2025-12-11,AUD,150000,,3.600,-0.25
2025-12-11,CAD,0,13000,0,0
2025-12-11,CAD,13000,,1.565,-0.5
2025-12-11,CHF,0,100000,0,0
2025-12-11,CHF,100000,,-0.433,-0.25
2025-12-11,CNH,0,70000,0,0
2025-12-11,CNH,70000,,0.50,0
2025-12-11,CZK,0,250000,0,0
2025-12-11,CZK,250000,,1.216,-2
2025-12-11,DKK,0,75000,0,0
2025-12-11,DKK,75000,,0.989,-0.5
2025-12-11,EUR,0,10000,0,0
2025-12-11,EUR,10000,,1.432,-0.5
2025-12-11,GBP,0,8000,0,0
2025-12-11,GBP,8000,,3.520,-0.5
2025-12-11,HKD,0,78000,0,0
2025-12-11,HKD,78000,,1.417,-0.75
2025-12-11,HUF,0,3500000,0,0
2025-12-11,HUF,3500000,,3.281,-3
2025-12-11,ILS,,,0,0
2025-12-11,INR,,,0,0
2025-12-11,JPY,0,5000000,0,0
2025-12-11,JPY,5000000,,0.006,-0.25
2025-12-11,KRW,0,12000000,0,0
2025-12-11,KRW,12000000,,1.000,-1.5
2025-12-11,MXN,0,200000,0,0
2025-12-11,MXN,200000,,3.036,-4
2025-12-11,NOK,0,100000,0,0
2025-12-11,NOK,100000,,1.767,-2
2025-12-11,NZD,0,15000,0,0
2025-12-11,NZD,15000,,0.000,-2.5
2025-12-11,PLN,0,400000,0,0
2025-12-11,PLN,400000,,1.985,-2
2025-12-11,RON,0,50000,0,0
2025-12-11,RON,50000,,3.365,-2
2025-12-11,RUB,,,0,0
2025-12-11,SAR,0,35000,0,0
2025-12-11,SAR,35000,,3.748,-0.75
2025-12-11,SEK,0,110000,0,0
2025-12-11,SEK,110000,,1.120,-0.5
2025-12-11,SGD,0,14000,0,0
2025-12-11,SGD,14000,,0.127,-1
2025-12-11,TRY,0,250000,0,0
2025-12-11,TRY,250000,,5,0
2025-12-11,ZAR,0,150000,0,0
2025-12-11,ZAR,150000,,5.582,-1
