Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-08-11,USD,0,10000,0,0
2026-08-11,USD,10000,,3.130,-0.5
2026-08-11,AED,0,35000,0,0
2026-08-11,AED,35000,,2.926,-0.75
2026-08-11,AUD,0,15000,0,0
2026-08-11,AUD,15000,150000,3.790,-0.5
2026-08-11,AUD,150000,,4.040,-0.25
2026-08-11,CAD,0,13000,0,0
2026-08-11,CAD,13000,,1.857,-0.5
2026-08-11,CHF,0,100000,0,0
2026-08-11,CHF,100000,,-0.439,-0.25
2026-08-11,CNH,0,70000,0,0
2026-08-11,CNH,70000,,0.50,0
2026-08-11,CZK,0,250000,0,0
2026-08-11,CZK,250000,,1.453,-2
2026-08-11,DKK,0,75000,0,0
2026-08-11,DKK,75000,,1.240,-0.5
2026-08-11,EUR,0,10000,0,0
2026-08-11,EUR,10000,,1.696,-0.5
2026-08-11,GBP,0,8000,0,0
2026-08-11,GBP,8000,,3.255,-0.5
2026-08-11,HKD,0,78000,0,0
2026-08-11,HKD,78000,,1.535,-0.75
2026-08-11,HUF,0,3500000,0,0
2026-08-11,HUF,3500000,,2.467,-3
2026-08-11,ILS,,,0,0
2026-08-11,INR,,,0,0
2026-08-11,JPY,0,5000000,0,0
2026-08-11,JPY,5000000,,0.594,-0.25
2026-08-11,KRW,0,12000000,0,0
2026-08-11,KRW,12000000,,3.076,-1.5
2026-08-11,MXN,0,200000,0,0
2026-08-11,MXN,200000,,2.530,-4
2026-08-11,NOK,0,100000,0,0
2026-08-11,NOK,100000,,2.030,-2
2026-08-11,NZD,0,15000,0,0
2026-08-11,NZD,15000,,0.000,-2.5
2026-08-11,PLN,0,400000,0,0
2026-08-11,PLN,400000,,1.698,-2
2026-08-11,RON,0,50000,0,0
2026-08-11,RON,50000,,3.272,-2
2026-08-11,RUB,,,0,0
2026-08-11,SAR,0,35000,0,0
2026-08-11,SAR,35000,,2.220,-0.75
2026-08-11,SEK,0,110000,0,0
2026-08-11,SEK,110000,,1.078,-0.5
2026-08-11,SGD,0,14000,0,0
2026-08-11,SGD,14000,,0.168,-1
2026-08-11,TRY,0,250000,0,0
2026-08-11,TRY,250000,,5,0
2026-08-11,ZAR,0,150000,0,0
2026-08-11,ZAR,150000,,5.896,-1
