Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-08-09,USD,0,10000,0,0
2026-08-09,USD,10000,,3.130,-0.5
2026-08-09,AED,0,35000,0,0
2026-08-09,AED,35000,,3.001,-0.75
2026-08-09,AUD,0,15000,0,0
2026-08-09,AUD,15000,150000,3.698,-0.5
2026-08-09,AUD,150000,,3.948,-0.25
2026-08-09,CAD,0,13000,0,0
2026-08-09,CAD,13000,,1.744,-0.5
2026-08-09,CHF,0,100000,0,0
2026-08-09,CHF,100000,,-0.488,-0.25
2026-08-09,CNH,0,70000,0,0
2026-08-09,CNH,70000,,0.50,0
2026-08-09,CZK,0,250000,0,0
2026-08-09,CZK,250000,,1.453,-2
2026-08-09,DKK,0,75000,0,0
2026-08-09,DKK,75000,,1.232,-0.5
2026-08-09,EUR,0,10000,0,0
2026-08-09,EUR,10000,,1.717,-0.5
2026-08-09,GBP,0,8000,0,0
2026-08-09,GBP,8000,,3.280,-0.5
2026-08-09,HKD,0,78000,0,0
2026-08-09,HKD,78000,,1.582,-0.75
2026-08-09,HUF,0,3500000,0,0
2026-08-09,HUF,3500000,,2.564,-3
2026-08-09,ILS,,,0,0
2026-08-09,INR,,,0,0
2026-08-09,JPY,0,5000000,0,0
2026-08-09,JPY,5000000,,0.570,-0.25
2026-08-09,KRW,0,12000000,0,0
2026-08-09,KRW,12000000,,3.083,-1.5
2026-08-09,MXN,0,200000,0,0
2026-08-09,MXN,200000,,2.552,-4
2026-08-09,NOK,0,100000,0,0
2026-08-09,NOK,100000,,2.034,-2
2026-08-09,NZD,0,15000,0,0
2026-08-09,NZD,15000,,0.000,-2.5
2026-08-09,PLN,0,400000,0,0
2026-08-09,PLN,400000,,1.639,-2
2026-08-09,RON,0,50000,0,0
2026-08-09,RON,50000,,3.295,-2
2026-08-09,RUB,,,0,0
2026-08-09,SAR,0,35000,0,0
2026-08-09,SAR,35000,,2.220,-0.75
2026-08-09,SEK,0,110000,0,0
2026-08-09,SEK,110000,,1.115,-0.5
2026-08-09,SGD,0,14000,0,0
2026-08-09,SGD,14000,,0.000,-1
2026-08-09,TRY,0,250000,0,0
2026-08-09,TRY,250000,,5,0
2026-08-09,ZAR,0,150000,0,0
2026-08-09,ZAR,150000,,5.467,-1
