Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2025-12-13,USD,0,10000,0,0
2025-12-13,USD,10000,,3.140,-0.5
2025-12-13,AED,0,35000,0,0
2025-12-13,AED,35000,,3.172,-0.75
2025-12-13,AUD,0,15000,0,0
2025-12-13,AUD,15000,150000,3.508,-0.5
2025-12-13,AUD,150000,,3.758,-0.25
2025-12-13,CAD,0,13000,0,0
2025-12-13,CAD,13000,,1.602,-0.5
2025-12-13,CHF,0,100000,0,0
2025-12-13,CHF,100000,,-0.275,-0.25
2025-12-13,CNH,0,70000,0,0
2025-12-13,CNH,70000,,0.50,0
2025-12-13,CZK,0,250000,0,0
2025-12-13,CZK,250000,,1.376,-2
2025-12-13,DKK,0,75000,0,0
2025-12-13,DKK,75000,,1.237,-0.5
2025-12-13,EUR,0,10000,0,0
2025-12-13,EUR,10000,,1.625,-0.5
2025-12-13,GBP,0,8000,0,0
2025-12-13,GBP,8000,,3.671,-0.5
2025-12-13,HKD,0,78000,0,0
2025-12-13,HKD,78000,,1.353,-0.75
2025-12-13,HUF,0,3500000,0,0
2025-12-13,HUF,3500000,,3.466,-3
2025-12-13,ILS,,,0,0
2025-12-13,INR,,,0,0
2025-12-13,JPY,0,5000000,0,0
2025-12-13,JPY,5000000,,0.106,-0.25
2025-12-13,KRW,0,12000000,0,0
2025-12-13,KRW,12000000,,1.000,-1.5
2025-12-13,MXN,0,200000,0,0
2025-12-13,MXN,200000,,2.295,-4
2025-12-13,NOK,0,100000,0,0
2025-12-13,NOK,100000,,1.919,-2
2025-12-13,NZD,0,15000,0,0
2025-12-13,NZD,15000,,0.000,-2.5
2025-12-13,PLN,0,400000,0,0
2025-12-13,PLN,400000,,2.116,-2
2025-12-13,RON,0,50000,0,0
2025-12-13,RON,50000,,3.651,-2
2025-12-13,RUB,,,0,0
2025-12-13,SAR,0,35000,0,0
2025-12-13,SAR,35000,,4.388,-0.75
2025-12-13,SEK,0,110000,0,0
2025-12-13,SEK,110000,,1.551,-0.5
2025-12-13,SGD,0,14000,0,0
2025-12-13,SGD,14000,,0.047,-1
2025-12-13,TRY,0,250000,0,0
2025-12-13,TRY,250000,,5,0
2025-12-13,ZAR,0,150000,0,0
2025-12-13,ZAR,150000,,5.471,-1
